JOB_NUMBER,USER,TIMESTAMP,COMMIT_ID,BRANCH,PLATFORM,MODE,VERSION,MODIFY_LOG,BUILD_ACTION,PACKAGE_MODE,IPA_METHOD,BUILD_CODE,ALIAS,PATCH_PLATFORM_MODE,PATCH_VERSION,PATCH_COMMIT
52,zhouyuan,1579070182847,a86508d4363bb9423e240cdb1fbd1183fa4b8d41,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
53,zhouyuan,1579076921185,06fbe8785c56989b9c3a7014f38f993c379ef9c3,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
54,zhouyuan,1579078855579,06fbe8785c56989b9c3a7014f38f993c379ef9c3,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
55,zhouyuan,1579081933826,8f80b6530eb8fe68ecae5b95ee8cef8239030fba,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
56,zhouyuan,1579082204810,8f80b6530eb8fe68ecae5b95ee8cef8239030fba,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
57,zhouyuan,1579083997088,5a38f8e65c8803b889d51ef920f26eb361050400,origin/release/v1.0.6,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
58,sagittarius,1579085724882,802220536b6751a582ac48cae5bf63d4f29419ac,origin/release/v1.0.6,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
59,sagittarius,1579087385309,802220536b6751a582ac48cae5bf63d4f29419ac,origin/release/v1.0.6,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
60,sagittarius,1579088095600,af2aba48d161c4f0598208d215148ddaa7303151,origin/release/v1.0.6,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
61,zhouyuan,1579143100999,67efcba068ee8169003ba937f1be8d2997e14cfb,origin/release/v1.0.6,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
