JOB_NUMBER,COMMIT_ID,BRANCH,PLATFORM,MODE,VERSION,MODIFY_LOG,BUILD_ACTION,PACKAGE_MODE,IPA_METHOD,BUILD_CODE,ALIAS,PATCH_PLATFORM_MODE,PATCH_VERSION,PATCH_COMMIT
112,09255b462625338b630b040c20e35421f719db10,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
113,f96c8c7c19b5eb58903a605db1b88c9d342789d6,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
114,e5a4c900a2949d57772b03020032cf87a7a4daee,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
115,27dd9a64313c752de20fb36721916368b8fb980b,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
116,e6dfe3a2885ed7ec916b35d4c2a23247da3ca170,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
117,ef9dd88ee5ba5378e43d10354f2cabaaa4c2665d,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
118,a8d5a132788f521c913feae61d7cef7f8ffbdf73,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
119,a8d5a132788f521c913feae61d7cef7f8ffbdf73,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
120,a8d5a132788f521c913feae61d7cef7f8ffbdf73,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
121,a8d5a132788f521c913feae61d7cef7f8ffbdf73,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
122,a8d5a132788f521c913feae61d7cef7f8ffbdf73,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
123,a2f5dbe53023308d98d5d91a07ce14958b46d81e,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
124,a2f5dbe53023308d98d5d91a07ce14958b46d81e,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
125,a2f5dbe53023308d98d5d91a07ce14958b46d81e,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
126,a2f5dbe53023308d98d5d91a07ce14958b46d81e,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
127,7c13631b99fc8c21ceaafce115fac7c64dae6cf4,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
128,5b17f7dc0632b147ada5335991bcb8fda4b503fe,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
129,5b17f7dc0632b147ada5335991bcb8fda4b503fe,origin/lua,ios,release,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
130,5b17f7dc0632b147ada5335991bcb8fda4b503fe,origin/lua,ios,release,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
131,5b17f7dc0632b147ada5335991bcb8fda4b503fe,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
132,5b17f7dc0632b147ada5335991bcb8fda4b503fe,origin/lua,ios,release,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
133,792ca59f2717eb91359b94219d2b970f311b6b99,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
134,7943268a4b40df7c611a472fe7078fabf25318ed,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
135,f5fca27839d3d5991878546036346bfd97cad82c,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
136,a7d84c27966f86aa85cab0e76a70aca42e7db05d,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
137,a7d84c27966f86aa85cab0e76a70aca42e7db05d,origin/lua,ios,release,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
138,a7d84c27966f86aa85cab0e76a70aca42e7db05d,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
139,f54d8b4dc0e8b77f8157c77420508d69096edb8c,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
140,da6e14e2c8ae16aa99d194d11599c72f40f1e627,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
141,da6e14e2c8ae16aa99d194d11599c72f40f1e627,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
142,da6e14e2c8ae16aa99d194d11599c72f40f1e627,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
143,b245fed79b540f9a687dbd3cbfdd1d30cc6e2245,origin/lua,android,debug,1.0.7,,build_app,undefined,,13,undefined,undefined,undefined,undefined
144,b245fed79b540f9a687dbd3cbfdd1d30cc6e2245,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
145,a5fd7c87d961e563c411e993eb7d24f6f0ed8eb1,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
146,a5fd7c87d961e563c411e993eb7d24f6f0ed8eb1,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
147,b0af007d99b7cb2c9bcefd5b70b75dc2e9cf4a33,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
148,3d469594a680e55bc302e0e43d3520b0f04aeaa0,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
149,ca531216e6d9e6b9c75083aedd0994891d511f88,origin/release/v1.0.7,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
150,14ccbe01a31da97a71ee095a0f3d192f0b98490e,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
152,14ccbe01a31da97a71ee095a0f3d192f0b98490e,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
153,c20edf218fcf7515bbb5fecce4815857528ee746,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
154,b1546e914fa71b5a55b1f5fde68d264e7915d60c,origin/lua,ios,debug,1.0.7,,build_app,undefined,adhoc ,13,undefined,undefined,undefined,undefined
155,57cfa11c9a43e743dc1a55c3ef6195beb986678a,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
156,f83d98c70844e8878ff6efe839a4957c401490c2,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
157,700d466b13d7fd7beb469c5df1d6697d57785898,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
158,2b7f1637115638be623fb9ac416f20b1ef8afbaf,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
159,d1faa4760383ee6dbb37957d0d86c660d6246a17,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
160,2f11777f54226d579dba6dda7f891024095b7b5c,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,13,undefined,undefined,undefined,undefined
